Category	Book	Level Range / Style	Recipes Taught	Proficiencies
Archery	Archery for Kids	0-1	arrow rest (2); bow dampening kit (1); bow scope (2); bow stabilizer (3); bow stabilizer system (3); primitive bow dampening kit (1); single pin bow sight (2); wooden arrow rest (2)	
Archery	Lessons for the Novice Bowhunter	0-2	bullet crossbow (2); crude wooden arrow (1); crude wooden bolt (1); double-string crossbow (2); hand crossbow (4); horn-tipped arrow (2); latchet crossbow (2); light crossbow (2); monster tooth arrow (2); stone-tipped arrow (2); wooden arrow (2); wooden short bow (2); wooden target bow (4); wooden war bow (7)	
Archery	Zen and the Art of Archery	0-3	arrow rest (1); bow dampening kit (1); bow scope (1); bow stabilizer (2); bow stabilizer system (2); bullet crossbow (3); composite bow (5); double-string crossbow (3); hand crossbow (5); latchet crossbow (3); light crossbow (3); primitive bow dampening kit (1); single pin bow sight (1); wooden arrow rest (1); wooden short bow (2); wooden target bow (4); wooden war bow (6)	
Athletics	Swim Planet	0-1	swim fins (3)	
Athletics	Water Survival Training Field Manual	0-3	rebreather mask (3); rebreather oxygen regenerator cartridge (3); rebreather scrubber cartridge, air tank (3); rebreather scrubber cartridge, oxygen tank (3); swim fins (2)	
Bashing Weapons	Batter Up!	0-1		
Bashing Weapons	tactical baton defense manual	0-3		
Computers	Computer Science 101	0-3		
Computers	Computer Science 301	3-5		
Computers	Computer World	0-1		
Computers	How to Browse the Web	0-2		
Computers	Principles of Advanced Programming	4-6		
Computers	Pro Hacker Secrets	2-4		
Computers	SICP	5-8		
Computers	Web Design Basics	1-3		
Cooking	Blood for the Greater Good	1-2	'very' Bloody Mary cocktail (2); blodplättar (2); blood rice pudding (2); blood soup (2); blutwurst (2)	
Cooking	Bon Appetit	0-1	cheesy baked spinach casserole (1); condensed milk (2); condensed milk (3); fish and spinach bagel (2); fish noodle casserole (1); fruit filled gelatin dessert (3); fruit filled vegan gelatin dessert (1); homemade gelatin dessert (3); honey mustard (1); hot corn casserole (1); lazy lobster casserole (1); mayonnaise (1); serving of chocolate ice cream (0); serving of ice cream (0); sloppy joe (1); vegan gelatin dessert (1)	
Cooking	Can Sealer Instructions	0-1	bone broth (3); canned beans (3); canned fish (4); canned fruit (3); canned lobster (4); canned meat (4); canned offal (4); canned tomato (3); canned vegetable (3); coconut milk (1); fish soup (3); meat broth (3); meat soup (3); mushroom soup (3); tomato sauce (3); vegetable broth (3); vegetable soup (3); wet cat food (4); wet dog food (4); woods meat soup (3)	Canning Food; Food Preservation
Cooking	Cooking on a Budget	0-3	bread (2); brown bread (2); canned beans (4); canned fruit (4); canned heart (6); canned liver (6); canned meat (4); canned offal (4); canned vegetable (4); charcoal smoker (3); cracker (2); deep-fried tripe (1); deviled kidney (2); flatbread (1); freshly fed sourdough starter (2); fried brain (2); fried heart (1); fried liver (2); fruit jam (1); grilled sweetbread (1); hamburger helper (1); hobo stove (2); honey mustard (1); humble pie (1); juvenile sourdough starter (2); leverpostej (3); liver & onions (0); lutefisk (4); mayonnaise (1); meat broth (4); new york wiener (1); pickled offal (6); pumpkin muffin (3); pumpkin yeast bread (2); scrapple (2); sourdough bread (2); stewed tripe (1); stone quern (3); vegetable broth (4); vegetable pie (3); vegetable soup (4); wastebread (3)	Breadmaking; Culinary Fermentation; Dessert Baking; Lactofermentation; Principles of Baking
Cooking	Cucina Italiana	3-4	amatriciana pasta (3); bread (3); canned tomato (4); cheese pizza (2); chili con carne (2); condensed milk (2); condensed milk (3); eggplant parmigiana (2); freshly fed sourdough starter (3); garlic bread (1); garlic powder (1); Italian seasoning (2); juvenile sourdough starter (3); lasagne (3); mascarpone (3); meat pizza (2); pasta carbonara (3); pesto (2); raw meatball (2); serving of gelato (1); sourdough bread (3); spaghetti al pesto (3); spaghetti bolognese (3); supreme pizza (3); tiramisù (2); tomato sauce (4); vegetable pizza (2)	
Cooking	Dainty Dishes Fit for a King	1-3	brioche (5); brown bread (2); cake (6); cooked burdock greens (2); dandelion tea (2); fried burdocks (2); fried dandelions and burdocks (2); glazed tenderloins (5); hamburger helper (4); lobster platter (5); maple pie (7); onigiri (3); sponge cake (6); vegetable aspic (4)	
Cooking	Drink the Harvest	2-4	apple cider (2); cranberry juice (2); fruit juice (2); orange juice (2)	Canning Food; Food Preservation
Cooking	Eat Your Way to a Fit Physique	0-1	bone broth (5); fried tofu (3); tofu (4); vegetable pizza (3)	
Cooking	family cookbook	1-5	bratwurst (2); bread (1); brown bread (1); burdock wine must (2); butter churn (4); chamomile tea (1); chicory brew (1); cloutie dumplings (6); condensed milk (2); condensed milk (3); cooked bamboo shoots (2); cooked burdock greens (1); Cullen skink (4); dandelion tea (1); dandelion wine must (2); deviled kidney (2); eggnog (2); escargot (2); fish and spinach bagel (2); freshly fed sourdough starter (2); fried bamboo shoots (2); fried burdocks (1); fried dandelions and burdocks (1); fried liver (2); fruit filled gelatin dessert (3); fruit filled vegan gelatin dessert (1); fruit pie (3); glazed tenderloins (5); gummy candy (2); hickory nut ambrosia (5); homemade gelatin dessert (3); juvenile sourdough starter (2); leverpostej (3); lobster platter (5); lotus tea (1); maple syrup candy (5); meat confit (3); Melitzanosalata (2); Mexican hot chocolate (2); moonshine mash (1); pine needle tea (1); pumpkin muffin (3); pumpkin yeast bread (1); raw meatball (2); raw sausage (2); scrapple (2); sloppy joe (1); smoked sausage (2); soaking dandelion (2); sourdough bread (2); spiked eggnog (2); spurge tea (1); sweet sausage (4); unfermented root beer (2); Valencian paella (2); vegan gelatin dessert (1); vegan gummy candy (2)	Breadmaking; Dessert Baking; Principles of Baking; Principles of Frying
Cooking	Fermenting Culture	3-6	fermenting eggs jar (4); fermenting pickle jar (3); fermenting sauerkraut jar (2); sauerkraut w/ sauteed onions (2)	Culinary Fermentation; Lactofermentation
